source,experiment,stain,subject_id,intensity_mean,intensity_std,intensity_skew,intensity_kurt,freq_band0,freq_band1,freq_band2,freq_band3,freq_band4,grad_mean,grad_std,gmm_mean1,gmm_mean2,gmm_weight1,gmm_std1,PC1,PC2,PC3,PC4,PC5
real,,YoPro,003,4.7714667,3.4074743,-0.7024067,-0.50184387,1.8249699,1.6180395,1.620121,1.4749233,1.45142,4.374193,2.8717282,5.9604645e-08,2.3841858e-07,0.0,-2.9802322e-08,-6.9081097,2.798715,1.346764,1.2763692,1.0881716
real,,YoPro,007,1.2421434,2.1585836,-0.55529845,-0.485482,1.6780415,1.8090663,1.6023923,1.4343895,1.3217949,1.6995829,2.136035,5.9604645e-08,2.3841858e-07,0.0,-2.9802322e-08,-10.957294,1.2976204,1.6243452,-0.39960992,1.3178222
real,,YoPro,008,1.0526775,1.898373,-0.54762816,-0.48403534,1.5538968,1.7481834,1.520236,1.4181522,1.392076,1.6876407,2.041354,5.9604645e-08,2.3841858e-07,0.0,-2.9802322e-08,-11.187162,1.3342555,1.4306794,-0.575395,1.2588539
real,,YoPro,009,0.71410775,1.5966421,-0.4963573,-0.47563592,1.4596833,1.5920746,1.2881434,1.1587247,1.1307228,1.0954524,1.5738025,5.9604645e-08,2.3841858e-07,0.0,-2.9802322e-08,-11.865931,0.75045264,1.0515503,-0.62250036,1.0644059
real,,YoPro,010,-0.025168452,0.14877912,-0.4324685,-0.4551979,0.67878073,0.5584031,0.008263876,-0.18012969,-0.23942272,-0.051201995,-0.10274519,5.9604645e-08,2.3841858e-07,0.0,-2.9802322e-08,-13.987532,-0.6220527,-1.3717394,-0.26138952,0.14222369
real,,YoPro,011,0.21110064,0.37394527,-0.49074396,-0.4697256,0.86131907,0.82649,0.3851718,0.21271993,0.15556236,0.34087637,0.16716701,5.9604645e-08,2.3841858e-07,0.0,-2.9802322e-08,-13.377819,-0.22963825,-0.85269344,-0.51037085,0.2184235
real,,YoPro,012,1.2242018,2.0698187,-0.5531547,-0.48537284,1.6718092,1.863444,1.6846262,1.5875511,1.5819411,1.8047757,2.1884184,5.9604645e-08,2.3841858e-07,0.0,-2.9802322e-08,-10.858093,1.4406881,1.7085875,-0.6324604,1.3280724
real,,YoPro,013,0.8311114,1.607862,-0.5444718,-0.4831921,1.3502406,1.4527862,1.1388983,1.0240835,0.9830465,1.2801322,1.647255,5.9604645e-08,2.3841858e-07,0.0,-2.9802322e-08,-11.809496,0.8890333,0.8420063,-0.38046277,1.0820761
real,,YoPro,014,1.1012524,1.7824321,-0.5426443,-0.4829264,1.407852,1.5330102,1.2676247,1.1325046,1.0914452,1.5171379,1.9037352,5.9604645e-08,2.3841858e-07,0.0,-2.9802322e-08,-11.396482,1.1021905,1.0171679,-0.31535006,1.2234993
real,,YoPro,015,0.80099624,1.463825,-0.5318684,-0.48127782,1.3087981,1.3864498,1.0121472,0.86897695,0.81319547,1.0328559,1.4354267,5.9604645e-08,2.3841858e-07,0.0,-2.9802322e-08,-12.020481,0.6040554,0.600037,-0.3492748,0.998318
real,,YoPro,016,1.854715,1.6767682,-0.600281,-0.49138826,1.2772838,1.2597841,0.9413819,0.67753553,0.5518139,1.5847715,1.7729484,5.9604645e-08,2.3841858e-07,0.0,-2.9802322e-08,-11.000744,0.8605604,0.25090444,0.2574035,1.164261
real,,YoPro,017,0.845204,1.1209496,-0.5292964,-0.4807955,1.2284733,1.3082861,0.8937991,0.7711762,0.74867547,0.9652289,1.1156203,5.9604645e-08,2.3841858e-07,0.0,-2.9802322e-08,-12.121203,0.44726032,0.20135891,-0.4880494,0.7812638
real,,YoPro,018,0.34121028,0.7351224,-0.5175972,-0.4783957,0.92163444,0.95611006,0.40466338,0.23402841,0.19332248,0.2702567,0.63108003,5.9604645e-08,2.3841858e-07,0.0,-2.9802322e-08,-13.173494,-0.20791596,-0.50406516,-0.27446222,0.6263063
real,,YoPro,019,0.2792552,1.0454028,-0.48421797,-0.47407886,1.0559841,1.2187297,0.849387,0.55421054,0.3448977,0.47448,1.179777,5.9604645e-08,2.3841858e-07,0.0,-2.9802322e-08,-12.907512,0.17343438,0.10882592,-0.38738513,1.0129573
real,,YoPro,020,0.93233496,1.2299529,-0.6020509,-0.49190345,1.0645615,0.9177094,0.49169502,0.26637632,0.23472284,0.83061844,1.004346,5.9604645e-08,2.3841858e-07,0.0,-2.9802322e-08,-12.383594,0.20383167,-0.2566545,0.17020409,0.7356591
real,,YoPro,021,0.77299,1.7300644,-0.50139916,-0.47715527,0.90427464,1.1539693,1.1640346,0.7006301,0.42397106,1.5980091,2.6107411,5.9604645e-08,2.3841858e-07,0.0,-2.9802322e-08,-11.944728,1.4533836,0.57165205,0.26436394,1.8842921
